number,type,name_ja,related_mamodo_ja,related_partner_ja,cost,ad,class,attr_ja,effect_icon_ja,effect_ja,power,damage,flavor_ja,sets_ja,url,raw_header_lines
S-005,spell,バオウ・ザケルガ,ガッシュ・ベル,,6,AD,superior,雷,,相手の魔本にダメージ。,+6000,3,電撃をまとった巨大な竜を召喚する。,LEVEL:1　SRスターター,https://w.atwiki.jp/zatchbell/pages/315.html,術　上級　MP6　＋6000　ダメージ3　雷|バトル攻撃　バトル防御
S-006,spell,ギコル,レイコム,,1,AD,none,氷,,相手の魔本にダメージ。,+2000,1,氷の塊を発射し、相手を攻撃する。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/316.html,術　MP1　＋2000　ダメージ1　氷|バトル攻撃　バトル防御
S-007,spell,フリズド,レイコム,,2,AD,none,氷,,相手の魔本にダメージ。相手の魔本か魔物にダメージをあたえたとき、次の相手のターンのエンドフェイズまで、相手はパートナーの効果を使えない(【ステイ】)。,+2000,1,氷の呪文で相手の動きを封じる。,LEVEL:1　R,https://www27.atwiki.jp/zatchbell/pages/317.html,術　MP2　＋2000　ダメージ1　氷|バトル攻撃　バトル防御
S-008,spell,レイス,ブラゴ,,2,AD,none,重力,,相手の魔本にダメージ。,+2000,2,相手に重力波をぶつける呪文。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/318.html,術　MP2　＋2000　ダメージ2　重力|バトル攻撃　バトル防御
S-009,spell,グラビレイ,ブラゴ,,2,A,none,重力,,相手の魔本にダメージ。相手の魔本か魔物にダメージをあたえたとき、次のターンのエンドフェイズまで、相手は術を使えない(【ステイ】)。,+2000,1,強い重力をかける強力な呪文。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/319.html,術　MP2　＋2000　ダメージ1　重力|バトル攻撃
S-010,spell,ギガノレイス,ブラゴ,,3,AD,none,重力,,相手の魔本にダメージ。,+3000,2,レイスの強化版。エネルギーのかたまりを相手にぶつける。,LEVEL:1　SRパック,https://www27.atwiki.jp/zatchbell/pages/320.html,術　MP3　＋3000　ダメージ2　重力|バトル攻撃　バトル防御
S-011,spell,アイアン・グラビレイ,ブラゴ,,4,A,intermediate,重力,,相手の魔本にダメージ。相手の魔本か魔物にダメージをあたえたとき、次のターンのエンドフェイズまで、相手は術を使えない(【ステイ】)。,+4000,3,その重力はグラビレイの比ではない。,LEVEL:1　SR自販機|TBB1　R,https://www27.atwiki.jp/zatchbell/pages/321.html,術　中級　MP4　＋4000　ダメージ3　重力|バトル攻撃
S-012,spell,ドルク,ゴフレ,,1,A,none,,,相手の魔本にダメージ。,+3000,1,凶暴な姿で相手に襲い掛かる突撃呪文。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/322.html,術　MP1　＋3000　ダメージ1|バトル攻撃
S-013,spell,ドルセン,ゴフレ,,2,A,none,,,相手の魔本にダメージ。,+3000,2,自らの足を石化させ相手に連続発射する。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/323.html,術　MP2　＋3000　ダメージ2|バトル攻撃
S-014,spell,ジュロン,スギナ,,2,AD,none,木,,相手の魔本にダメージ。相手の魔本か魔物にダメージをあたえたとき、コインを投げてオモテなら、次のターンのエンドフェイズまで、相手は術を使えない(【ステイ】)。,+2000,1,植物を自在に操り、動きを封じたりすることもできる。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/324.html,術　MP2　＋2000　ダメージ1　木|バトル攻撃　バトル防御
S-015,spell,ラージア・ジュガロ,スギナ,,4,AD,none,木,,相手の魔本にダメージ。,+4000,3,巨大植物を召喚、相手に種子を投げ飛ばす。,LEVEL:1　R,https://www27.atwiki.jp/zatchbell/pages/325.html,術　MP4　＋4000　ダメージ3　木|バトル攻撃　バトル防御
S-016,spell,ゼルク,コルル,,1,AD,none,,,相手の魔本にダメージ。この術を防御で使ったとき、この術の魔力を+1000する。,+2000,1,凶暴な姿に変身、鋭い爪で相手を引き裂く。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/326.html,術　MP1　＋2000　ダメージ1|バトル攻撃　バトル防御
S-017,spell,ゼルセン,コルル,,4,AD,none,,,相手の魔本にダメージ。この術を攻撃で使ったとき、この術の魔力を+2000する。,+3000,2,強力なロケットパンチが相手を貫く。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/327.html,術　MP4　＋3000　ダメージ2|バトル攻撃　バトル防御
S-018,spell,ウイガル,フェイン,,2,A,none,,,相手の魔本にダメージ。,+2000,2,衝撃波で相手を攻撃。巻き込まれるとただではすまない。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/330.html,術　MP2　＋2000　ダメージ2|バトル攻撃
S-019,spell,ウルク,フェイン,,1,AD,none,,,【スタンバイ】このターン中の次のバトルで、相手は自分の攻撃を防御できない。,+3000,0,超高速移動呪文。あまりに速すぎて、瞬間移動したかに見える。,LEVEL:1　R,https://www27.atwiki.jp/zatchbell/pages/331.html,術　MP1　＋3000　ダメージ0|バトル攻撃　バトル防御
S-020,spell,ポルク,キャンチョメ,,1,A,none,,,相手のMPを3へらす。,+2000,,好きな姿に変身できる呪文。,LEVEL:1,https://w.atwiki.jp/zatchbell/pages/332.html,術　MP1　＋2000|バトル攻撃
S-021,spell,コポルク,キャンチョメ,,2,D,none,,,コインを2回投げて、オモテが1回以上出れば、このバトルの「効果の使用」の最後に、相手の攻撃を無効にする。,特殊,,小さくなる呪文か･･･。まさか弱くなる呪文があろうとはな。,LEVEL:1　Rパック・自販機|LEVEL:1　Nスターター|TBB2　N|RE　R,https://w.atwiki.jp/zatchbell/pages/333.html,術　MP2|バトル防御
S-022,spell,セウシル,ティオ,,1,D,none,,,魔力勝負で勝ったとき、相手の攻撃を無効にする。,+4000,,全体防御呪文。地中からの攻撃に対しては効果がない。,LEVEL:1,https://w.atwiki.jp/zatchbell/pages/334.html,術　MP1　＋4000|バトル防御
S-023,spell,サイス,ティオ,,1,A,none,,,相手の魔本にダメージ。,+1000,1,風の刃で相手を切り裂く。,LEVEL:1,https://w.atwiki.jp/zatchbell/pages/335.html,術　MP1　＋1000　ダメージ1|バトル攻撃
S-024,spell,マ・セシルド,ティオ,,3,D,none,,,魔力勝負で勝ったとき、相手の攻撃を無効にする。,+8000,,前方からの攻撃に対しては、最強クラスと言える防御力をほこる。,LEVEL:1　SRパック|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/336.html,術　MP3　＋8000|バトル防御
S-025,spell,逃げるぞ！,コマンド,,0,D,none,,,魔力勝負の勝敗にかかわらず、コインを投げてオモテなら、相手の攻撃を無効にする。,特殊,,三十六計逃げるにしかず。逃げることもまた戦略。,LEVEL:1|TBB2,https://w.atwiki.jp/zatchbell/pages/337.html,術　MP0　特殊|バトル防御
S-026,spell,ＳＥＴ！,コマンド,,0,A,none,,非バトル,コインを投げてオモテなら、次の効果を使える。【スタンバイ】このターン中の次のバトルで、相手は防御できない。,特殊,,いいか、オレの右手に注意するんだぞ。,LEVEL:1　Rパック・自販機|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/338.html,術　MP0　特殊|自分のターン　非バトル
S-027,spell,耐えてくれよ！,コマンド,,0,D,none,,,魔力勝負の勝敗にかかわらず、コインを2回投げて、オモテが1回以上出れば、相手の攻撃のダメージを1へらす。,特殊,,フン、スマヌがここは私が通さぬぞ。,LEVEL:1,https://w.atwiki.jp/zatchbell/pages/339.html,術　MP0　特殊|バトル防御
S-028,spell,伏せろ！,コマンド,,0,D,none,,,魔力勝負で勝ったとき、相手の攻撃を無効にする。,+1000,,ガッシュ、伏せろ!何か来る!!,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/340.html,術　MP0　＋1000|バトル防御
S-029,spell,ザケル,ガッシュ・ベル,,3,AD,none,雷,,相手の魔本にダメージ。,+3000,2,力を込めろ!強く心の力を･･････!,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/709.html,術　MP3　＋3000　ダメージ2　雷|バトル攻撃　バトル防御
S-030,spell,ラシルド,ガッシュ・ベル,,2,D,none,雷,,【カウンター】魔力勝負で勝ったとき、相手の魔本にダメージ。,+5000,1,巨大な電撃の壁が相手の呪文をはじき返す。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/710.html,術　MP2　＋5000　ダメージ1　雷|バトル防御
S-031,spell,バオウ・ザケルガ,ガッシュ・ベル,,7,AD,superior,雷,,相手の魔本にダメージ。この術のダメージを受けた魔物は捨て札になる。,+6000,3,バオオォォォォォォォ!!!,LEVEL:2　SR自販機|TBB1　R,https://www27.atwiki.jp/zatchbell/pages/711.html,術　上級　MP7　＋6000　ダメージ3　雷|バトル攻撃　バトル防御
S-032,spell,レイス,ブラゴ,,2,AD,none,重力,,相手の魔本にダメージ。この術のダメージは3より上にならない。,+3000,2,手から放たれる重力の塊が相手を襲う!,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/712.html,術　MP2　＋3000　ダメージ2　重力|バトル攻撃　バトル防御
S-033,spell,グラビレイ,ブラゴ,,3,AD,none,重力,,相手の魔本にダメージ。相手の魔本か魔物にダメージをあたえたとき、次のターンのエンドフェイズまで、相手の魔物すべてを選び、その魔物の魔力を-2000する(0より小さくはならない)(【ステイ】)。,+3000,2,上から降りかかる力が相手の体を押しつぶす。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/713.html,術　MP3　＋3000　ダメージ2　重力|バトル攻撃　バトル防御
S-034,spell,ギガノレイス,ブラゴ,,3,AD,none,重力,,相手の魔本にダメージ。この術のダメージは4より上にならない。,+4000,2,レイスよりも大きな、高密度のエネルギー弾。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/714.html,術　MP3　＋4000　ダメージ2　重力|バトル攻撃　バトル防御
S-035,spell,アイアン・グラビレイ,ブラゴ,,5,A,intermediate,重力,,相手の魔本にダメージ。コインを2回投げる。オモテが2回出れば、相手は、この術のダメージを「かばう」ことができない。,+4000,3,周りの全てを一掃する、超強力呪文。,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター,https://www27.atwiki.jp/zatchbell/pages/727.html,術　中級　MP5　＋4000　ダメージ3　重力|バトル攻撃
S-036,spell,ディオガ・グラビドン,ブラゴ,,10,AD,superior,重力,,相手の魔物すべてを選ぶ。相手の魔本と、選んだ魔物すべてにダメージをあたえる。,+6000,3,怒りや憎しみをたぎらせて、本の力を引き出せ!,LEVEL:2　SRスターター,https://www27.atwiki.jp/zatchbell/pages/728.html,術　上級　MP10　＋6000　ダメージ3　重力|バトル攻撃　バトル防御
S-037,spell,ジキル,ハイド,,1,AD,none,風,,相手の魔本にダメージ。相手の魔本か魔物にダメージをあたえたとき、コインを投げてオモテなら、次のターンのエンドフェイズまで、自分の魔本と魔物はダメージを受けない(【ステイ】)。,+3000,1,かざした手のひらから烈風が放たれる!,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/729.html,術　MP1　＋3000　ダメージ1　風|バトル攻撃　バトル防御
S-038,spell,ジキルガ,ハイド,,3,AD,none,風,,相手の魔本にダメージ。相手の魔本か魔物にダメージをあたえたとき、次のターンのエンドフェイズまで、自分の魔本と魔物はダメージを受けない(【ステイ】)。,+3000,2,激しい風圧が相手に襲い掛かる、ジキルの強化呪文。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/730.html,術　MP3　＋3000　ダメージ2　風|バトル攻撃　バトル防御
S-039,spell,ラドム,ゾフィス,,3,AD,none,,,相手の魔本にダメージ。相手の魔本か魔物にダメージをあたえたとき、相手のパートナー1枚を選び、捨て札にする。,+4000,2,激しい炎で相手を一瞬で焼き尽くす。,LEVEL:2　URパック,https://www27.atwiki.jp/zatchbell/pages/731.html,術　MP3　＋4000　ダメージ2|バトル攻撃　バトル防御
S-040,spell,バルジュロン,ポッケリオ,,2,AD,none,木,,相手の魔本にダメージ。この術の魔力は、コインを3回投げて、オモテの数×2000となる。,2000×,1,数多くの木の戦士たちを出現させる術。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/732.html,術　MP2　2000×　ダメージ1　木|バトル攻撃　バトル防御
S-041,spell,ジュルク,ポッケリオ,,1,A,none,木,非バトル,【ステイ】コインを投げてオモテなら、次のターンのエンドフェイズまで、自分の魔本と魔物はダメージを受けない。,特殊,,木々が使い手とその魔物の姿を覆い隠す呪文。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/733.html,術　MP1　特殊　木|自分のターン　非バトル
S-042,spell,ビライツ,ロブノス,,2,AD,none,,,相手の魔本にダメージ。自分の攻撃の合計魔力が8000以上のならば、この術のダメージを+2する。,+3000,1,超速の光線が、相手の体を切り裂く。,LEVEL:2|TBB1,https://www27.atwiki.jp/zatchbell/pages/734.html,術　MP2　＋3000　ダメージ1|バトル攻撃　バトル防御
S-043,spell,レリ・ブルク,ロブノス,,4,A,none,,非バトル,次の効果の1つを使う。●自分の「ロブノス（分身体）」2体を選び、捨て札にする。そうしたなら、自分の魔本の好きなページから「ロブノス（完全体）」1枚を選び、場に出す。●自分の「ロブノス（完全体）」1体を選び、捨て札にする。そうしたなら、自分の魔本の好きなページから「ロブノス（分身体）」を2枚選び、場に出す。,特殊,,2体の分身体が強力合体する術。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/735.html,術　MP4　特殊|自分のターン　非バトル
S-044,spell,ガロン,マルス,,1,A,none,,,相手の魔本にダメージ。,+2000,2,重い鉄の鎖が、相手を押しつぶす。,LEVEL:2|TBB1,https://www27.atwiki.jp/zatchbell/pages/736.html,術　MP1　＋2000　ダメージ2|バトル攻撃
S-045,spell,ガンズ・ガロン,マルス,,2,A,none,,,コインを2回投げてオモテが2回出れば、相手はこの術を防御できない。相手の魔本にダメージ。,+3000,1,乱れ撃ちで放たれた鉄球が、敵を襲い粉砕する。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/737.html,術　MP2　＋3000　ダメージ1|バトル攻撃
S-046,spell,エイジャス・ガロン,マルス,,4,A,none,,,コインを投げてオモテなら、相手はこの術を防御できない。相手の魔本にダメージ。,+4000,2,鉄球を自在に操り、攻撃する。地中からの攻撃も可能。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/738.html,術　MP4　＋4000　ダメージ2|バトル攻撃
S-047,spell,ギガノ・ガランズ,マルス,,5,A,intermediate,,,相手の魔本にダメージ。,+5000,3,巨大な鉄の塊が相手を襲う、強力呪文。,LEVEL:2　R,https://www27.atwiki.jp/zatchbell/pages/739.html,術　中級　MP5　＋5000　ダメージ3|バトル攻撃
S-048,spell,ゼベルオン,バルトロ,,1,A,none,,非バトル,自分の魔本の好きなページから「バルトロ（アーマー体）」1枚を選び、自分の場の「バルトロ（本体）」の上に重ねる。,特殊,,「花をつけた物」を自在に操ることが出来る術。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/726.html,術　MP1　特殊|自分のターン　非バトル
S-049,spell,ゼベルセン,バルトロ,,5,A,intermediate,,,相手の魔本にダメージ。,+5000,3,胸から巨大な塊を連射する術。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/725.html,術　中級　MP5　＋5000　ダメージ3|バトル攻撃
S-050,spell,ミケル,ヨポポ,,1,AD,none,,,相手の魔本にダメージ。,+2000,1,ヨポポの歌が、攻撃に変わる。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/724.html,術　MP1　＋2000　ダメージ1|バトル攻撃　バトル防御
S-051,spell,ドレミケル,ヨポポ,,5,AD,intermediate,,,相手の魔本にダメージ。,+4000,3,歌の力で激しい衝撃波を繰り出す。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/723.html,術　中級　MP5　＋4000　ダメージ3|バトル攻撃　バトル防御
S-052,spell,アムルク,キクロプ,,2,AD,none,,,相手の魔本にダメージ。,+2000,1,頑丈な腕が巨大化し、相手を殴りつける。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/722.html,術　MP2　＋2000　ダメージ1|バトル攻撃　バトル防御
S-053,spell,アムド・シザルグ,キクロプ,,2,A,none,,,相手の魔本にダメージ。,+1000,2,両手が鋭いハサミに変化し、敵を斬る。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/721.html,術　MP2　＋1000　ダメージ2|バトル攻撃
S-054,spell,アムルセン,キクロプ,,4,A,none,,,相手の魔本にダメージ。,+4000,2,肘から岩のミサイルを連射する術。,LEVEL:2,https://www27.atwiki.jp/zatchbell/pages/720.html,術　MP4　＋4000　ダメージ2|バトル攻撃
S-055,spell,エムルロン,キクロプ,,5,A,intermediate,,,相手の魔本にダメージ。,+1000,4,炎をまとった伸びる拳が、相手めがけて襲いかかる。,LEVEL:2　R,https://www27.atwiki.jp/zatchbell/pages/719.html,術　中級　MP5　＋1000　ダメージ4|バトル攻撃
S-056,spell,目をそらすな！,コマンド,,0,D,none,,,魔力勝負に勝ったとき、相手の攻撃を無効にする。魔力勝負の勝敗にかかわらず、このバトル中に、自分の魔本がダメージを受けたとき、めくられたページの枚数×2、MPをふやす(【ステイ】)。,+0,,最後まで目を開けていた者が、この戦いで勝つ!!,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター,https://www27.atwiki.jp/zatchbell/pages/717.html,術　MP0　＋0|バトル防御
S-057,spell,チェックメイトだ！,コマンド,,0,A,none,,非バトル,コインを投げてオモテなら、次の効果を使える。【スタンバイ】このターン中の次のバトルで、自分が使う術の「ダメージをあたえる」効果は、「相手の魔物1体を選び、ダメージをあたえる」効果になる。,特殊,,ヌオオオォォォォォ!!,LEVEL:2　Rパック・自販機|LEVEL:2　Nスターター,https://www27.atwiki.jp/zatchbell/pages/718.html,術　MP0　特殊|自分のターン　非バトル
S-058,spell,ザケル,ゼオン,,3,A,intermediate,,,相手の魔物1体を選び、ダメージをあたえる。,+3000,,やる気があるのか、貴様ら?,LEVEL:2　シク,https://www27.atwiki.jp/zatchbell/pages/1188.html,術　中級　MP3　＋3000|バトル攻撃
